Time,Lat,Long,Pitch,Yaw,Roll,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2015-10-18 20:02:36.282,-36.88733,174.66101,21.95,50.27,150.12,-941.87,2181.97,-8069.31,-1310.95,524.98,-44.90
2015-10-18 20:02:37.059,-36.88733,174.66101,23.69,85.44,149.51,-876.87,2361.97,-11142.31,-1250.95,483.98,-70.90
2015-10-18 20:02:37.298,-36.88733,174.66101,25.94,130.43,148.59,-896.87,1433.97,-12678.31,-1236.95,488.98,-18.90
2015-10-18 20:02:37.842,-36.88733,174.66101,26.78,139.92,147.93,-1131.87,305.97,-12166.31,-1242.95,467.98,8.10
2015-10-18 20:02:38.513,-36.88733,174.66101,27.81,151.07,146.48,-1266.87,602.97,-11510.31,-1249.95,494.98,-20.90
2015-10-18 20:02:38.826,-36.88733,174.66101,28.25,156.90,145.94,-892.87,1760.97,-9416.31,-1306.95,548.98,-56.90
2015-10-18 20:02:39.049,-36.88733,174.66101,31.36,161.68,146.10,-1469.87,3003.97,-13350.31,-1221.95,458.98,-159.90
2015-10-18 20:02:39.398,-36.88733,174.66101,33.18,162.75,145.34,-1243.87,2244.97,-13464.31,-1219.95,408.98,-20.90
2015-10-18 20:02:39.701,-36.88733,174.66101,33.04,159.63,142.41,-850.87,2960.97,-12740.31,-1216.95,457.98,175.10
2015-10-18 20:02:39.996,-36.88733,174.66101,31.79,157.30,140.57,-1210.87,1414.97,-8537.31,-1300.95,529.98,58.10
2015-10-18 20:02:40.207,-36.88733,174.66101,31.26,156.80,140.10,-1249.87,2442.97,-8929.31,-1226.95,556.98,27.10
2015-10-18 20:02:40.810,-36.88733,174.66101,31.42,157.72,140.33,-760.87,1815.97,-7726.31,-1195.95,570.98,-61.90
2015-10-18 20:02:41.417,-36.88733,174.66101,31.05,160.40,141.42,-1113.87,1385.97,-11543.31,-1255.95,615.98,-106.90
2015-10-18 20:02:41.738,-36.88733,174.66101,24.58,173.15,152.17,-1197.87,1195.97,-902.31,-1262.95,717.98,-129.90
2015-10-18 20:02:42.507,-36.88733,174.66101,21.10,178.56,153.88,-1175.87,2351.97,-11108.31,-1185.95,813.98,-89.90
2015-10-18 20:02:42.726,-36.88733,174.66101,10.83,-148.56,164.30,-1002.87,3134.97,-10809.31,-1108.95,887.98,-557.90
