Time,Data,Latitude,Longitude
2015-10-18 17:13:31.822,"!!!VER:1.9,AN0:28.18,AN1:172.60,AN2:-148.18,AN3:-65.91,AN4:-999!!!VER:1.9,AN0:30.18,AN1:173.60,AN2:-107.18,AN3:-81.91,AN4:-1028.52,AN5:19875.70,RLL:-28.59,PCH:40.42,YAW:148.16,IMUH:0,TOW:0***!!!VER:1.9,AN0:3.18,AN1:176.60,AN2:-108.18,AN3:-48.91,AN4:-1046.",-36.881496,174.64566
2015-10-18 17:13:32.364,"!!!VER:1.9,AN0:0.18,AN1:182.60,AN2:-109.18,AN3:-89.91,AN4:-935.!!!VER:1.9,AN0:12.18,AN1:192.60,AN2:-89.18,AN3:-122.91,AN4:-1005.52,AN5:19807.70,RLL:-29.95,PCH:42.82,YAW:147.72,IMUH:0,TOW:0***!!!VER:1.9,AN0:-10.82,AN1:184.60,AN2:-121.18,AN3:-63.91,AN4:-983",-36.881496,174.64566
2015-10-18 17:13:32.877,"!!!VER:1.9,AN0:36.18,AN1:158.60,AN2:-177.18,AN3:107.09,AN4:-110!!!VER:1.9,AN0:39.18,AN1:192.60,AN2:-30.18,AN3:-80.91,AN4:-980.52,AN5:20368.70,RLL:-31.92,PCH:45.64,YAW:146.35,IMUH:0,TOW:0***
!!!VER:1.9,AN0:-37.82,AN1:205.60,AN2:-98.18,AN3:-150.91,AN4:-820.",-36.881496,174.64566
2015-10-18 17:13:33.125,"!!!VER:1.9,AN0:27.18,AN1:207.60,AN2:-166.18,AN3:-234.91,AN4:-79!!!VER:1.9,AN0:68.18,AN1:230.60,AN2:-167.18,AN3:-371.91,AN4:-863.52,AN5:19899.70,RLL:-35.12,PCH:49.37,YAW:143.47,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:33.527,"!!!VER:1.9,AN0:12.18,AN1:192.60,AN2:-147.18,AN3:-116.91,AN4:-11!!!VER:1.9,AN0:-9.82,AN1:173.60,AN2:-90.18,AN3:-301.91,AN4:-849.52,AN5:19877.70,RLL:-37.30,PCH:50.52,YAW:141.33,IMUH:0,TOW:0***
!!!VER:1.9,AN0:13.18,AN1:186.60,AN2:-78.18,AN3:-320.91,AN4:-795.",-36.881496,174.64566
2015-10-18 17:13:34.055,"!!!VER:1.9,AN0:31.18,AN1:173.60,AN2:-112.18,AN3:-186.91,AN4:-89!!!VER:1.9,AN0:-7.82,AN1:143.60,AN2:-123.18,AN3:-254.91,AN4:-846.52,AN5:19863.70,RLL:-39.64,PCH:52.24,YAW:139.58,IMUH:0,TOW:0**
!!!VER:1.9,AN0:-14.82,AN1:157.60,AN2:-85.18,AN3:-221.91,AN4:-900",-36.881496,174.64566
2015-10-18 17:13:34.467,"!!!VER:1.9,AN0:6.18,AN1:154.60,AN2:-143.18,AN3:-95.91,AN4:-880.!!!VER:1.9,AN0:18.18,AN1:156.60,AN2:-124.18,AN3:-15.91,AN4:-979.52,AN5:19978.70,RLL:-43.89,PCH:53.48,YAW:136.18,IMUH:0,TOW:0***
!!!VER:1.9,AN0:23.18,AN1:188.60,AN2:-83.18,AN3:-165.91,AN4:-933.",-36.881496,174.64566
2015-10-18 17:13:34.697,"!!!VER:1.9,AN0:-0.82,AN1:185.60,AN2:-75.18,AN3:5.09,AN4:-957.52!!!VER:1.9,AN0:20.18,AN1:194.60,AN2:-71.18,AN3:-263.91,AN4:-758.52,AN5:19912.70,RLL:-46.78,PCH:55.59,YAW:134.07,IMUH:0,TOW:0***",174.64566,174.64566
2015-10-18 17:13:34.965,"!!!VER:1.9,AN0:12.18,AN1:166.60,AN2:-86.18,AN3:-144.91,AN4:-905!!!VER:1.9,AN0:12.18,AN1:165.60,AN2:-86.18,AN3:-131.91,AN4:-981.52,AN5:19991.70,RLL:-48.93,PCH:56.44,YAW:132.16,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:35.357,"!!!VER:1.9,AN0:16.18,AN1:180.60,AN2:-85.18,AN3:-286.91,AN4:-759!!!VER:1.9,AN0:21.18,AN1:178.60,AN2:-152.18,AN3:-101.91,AN4:-996.52,AN5:19786.70,RLL:-51.68,PCH:57.20,YAW:129.69,IMUH:0,TOW:0***!!!VER:1.9,AN0:42.18,AN1:137.60,AN2:-78.18,AN3:-14.91,AN4:-999.5",-36.881496,174.64566
2015-10-18 17:13:35.612,"!!!VER:1.9,AN0:144.18,AN1:265.60,AN2:6.82,AN3:-61.91,AN4:-665.5!!!VER:1.9,AN0:14.18,AN1:67.60,AN2:-37.18,AN3:-419.91,AN4:-673.52,AN5:19998.70,RLL:-53.34,PCH:59.55,YAW:126.98,IMUH:0,TOW:0***
",-36.881496,174.64566
2015-10-18 17:13:36.149,"!!!VER:1.9,AN0:10.18,AN1:145.60,AN2:-54.18,AN3:-210.91,AN4:-721!!!VER:1.9,AN0:10.18,AN1:141.60,AN2:-39.18,AN3:-196.91,AN4:-704.52,AN5:20235.70,RLL:-54.77,PCH:60.22,YAW:126.00,IMUH:0,TOW:0***
!!!VER:1.9,AN0:11.18,AN1:182.60,AN2:-102.18,AN3:-207.91,AN4:-522",-36.881496,174.64566
2015-10-18 17:13:36.536,"!!!VER:1.9,AN0:8.18,AN1:189.60,AN2:-97.18,AN3:-196.91,AN4:-772.!!!VER:1.9,AN0:-8.82,AN1:191.60,AN2:-82.18,AN3:-276.91,AN4:-632.52,AN5:19929.70,RLL:-61.39,PCH:61.71,YAW:120.28,IMUH:0,TOW:0***
!!!VER:1.9,AN0:4.18,AN1:179.60,AN2:-125.18,AN3:-179.91,AN4:-724.",-36.881496,174.64566
2015-10-18 17:13:37.067,"!!!VER:1.9,AN0:1.18,AN1:169.60,AN2:-136.18,AN3:-200.91,AN4:-759!!!VER:1.9,AN0:8.18,AN1:183.60,AN2:-119.18,AN3:-214.91,AN4:-771.52,AN5:19987.70,RLL:-67.62,PCH:61.86,YAW:114.67,IMUH:0,TOW:0***
!!!VER:1.9,AN0:-0.82,AN1:164.60,AN2:-120.18,AN3:-186.91,AN4:-816",-36.881496,174.64566
2015-10-18 17:13:37.343,"!!!VER:1.9,AN0:20.18,AN1:168.60,AN2:-95.18,AN3:-235.91,AN4:-739!!!VER:1.9,AN0:-9.82,AN1:153.60,AN2:-121.18,AN3:-224.91,AN4:-769.52,AN5:19756.70,RLL:-74.95,PCH:61.73,YAW:107.99,IMUH:0,TOW:0**
",-36.881496,174.64566
2015-10-18 17:13:37.861,"!!!VER:1.9,AN0:24.18,AN1:168.60,AN2:-100.18,AN3:-273.91,AN4:-76!!!VER:1.9,AN0:18.18,AN1:150.60,AN2:-129.18,AN3:-115.91,AN4:-818.52,AN5:19906.70,RLL:-78.35,PCH:61.29,YAW:104.96,IMUH:0,TOW:0***!!!VER:1.9,AN0:11.18,AN1:161.60,AN2:-108.18,AN3:-264.91,AN4:-709",-36.881496,174.64566
2015-10-18 17:13:38.258,"!!!VER:1.9,AN0:26.18,AN1:171.60,AN2:-114.18,AN3:-120.91,AN4:-77!!!VER:1.9,AN0:13.18,AN1:182.60,AN2:-109.18,AN3:-236.91,AN4:-732.52,AN5:20040.70,RLL:-84.78,PCH:60.46,YAW:99.19,IMUH:0,TOW:0***
!!!VER:1.9,AN0:16.18,AN1:165.60,AN2:-117.18,AN3:-213.91,AN4:-670",-36.881496,174.64566
2015-10-18 17:13:38.517,"!!!VER:1.9,AN0:9.18,AN1:174.60,AN2:-119.18,AN3:-213.91,AN4:-701!!!VER:1.9,AN0:30.18,AN1:174.60,AN2:-117.18,AN3:-138.91,AN4:-744.52,AN5:19974.70,RLL:-89.42,PCH:59.15,YAW:95.21,IMUH:0,TOW:0***",-36.881496,174.64566
2015-10-18 17:13:38.770,"!!!VER:1.9,AN0:39.18,AN1:179.60,AN2:-107.18,AN3:-172.91,AN4:-77!!!VER:1.9,AN0:5.18,AN1:162.60,AN2:-86.18,AN3:-231.91,AN4:-633.52,AN5:19932.70,RLL:-92.00,PCH:58.56,YAW:93.04,IMUH:0,TOW:0***
",-36.881496,174.64566
2015-10-18 17:13:39.166,"!!!VER:1.9,AN0:31.18,AN1:173.60,AN2:-129.18,AN3:-190.91,AN4:-65!!!VER:1.9,AN0:37.18,AN1:171.60,AN2:-126.18,AN3:-234.91,AN4:-620.52,AN5:19925.70,RLL:-94.66,PCH:57.58,YAW:90.81,IMUH:0,TOW:0***
!!!VER:1.9,AN0:16.18,AN1:186.60,AN2:-109.18,AN3:-250.91,AN4:-662",-36.881496,174.64566
2015-10-18 17:13:39.438,"!!!VER:1.9,AN0:19.18,AN1:173.60,AN2:-105.18,AN3:-181.91,AN4:-70!!!VER:1.9,AN0:5.18,AN1:170.60,AN2:-128.18,AN3:-209.91,AN4:-641.52,AN5:19984.70,RLL:-98.37,PCH:55.82,YAW:88.08,IMUH:0,TOW:0***
",-36.881496,174.64566
2015-10-18 17:13:39.701,"!!!VER:1.9,AN0:10.18,AN1:187.60,AN2:-95.18,AN3:-251.91,AN4:-668!!!VER:1.9,AN0:10.18,AN1:168.60,AN2:-118.18,AN3:-183.91,AN4:-672.52,AN5:19965.70,RLL:-100.58,PCH:54.59,YAW:86.64,IMUH:0,TOW:0**
",174.6456,174.64566
2015-10-18 17:13:40.104,"!!!VER:1.9,AN0:13.18,AN1:164.60,AN2:-103.18,AN3:-226.91,AN4:-64!!!VER:1.9,AN0:3.18,AN1:178.60,AN2:-113.18,AN3:-117.91,AN4:-736.52,AN5:19957.70,RLL:-102.58,PCH:53.25,YAW:85.51,IMUH:0,TOW:0***
!!!VER:1.9,AN0:7.18,AN1:175.60,AN2:-122.18,AN3:-203.91,AN4:-742.",-36.881493,174.6456
2015-10-18 17:13:40.478,"!!!VER:1.9,AN0:11.18,AN1:189.60,AN2:-104.18,AN3:-233.91,AN4:-71!!!VER:1.9,AN0:24.18,AN1:180.60,AN2:-98.18,AN3:-217.91,AN4:-738.52,AN5:20006.70,RLL:-105.62,PCH:51.21,YAW:83.76,IMUH:0,TOW:0***
!!!VER:1.9,AN0:22.18,AN1:183.60,AN2:-93.18,AN3:-214.91,AN4:-784.",-36.881493,174.6456
2015-10-18 17:13:40.748,"!!!VER:1.9,AN0:-13.82,AN1:177.60,AN2:-75.18,AN3:-222.91,AN4:-69!!!VER:1.9,AN0:30.18,AN1:177.60,AN2:-93.18,AN3:-266.91,AN4:-683.52,AN5:20100.70,RLL:-108.14,PCH:49.55,YAW:82.42,IMUH:0,TOW:0***",-36.881493,174.6456
2015-10-18 17:13:41.155,"!!!VER:1.9,AN0:4.18,AN1:181.60,AN2:-113.18,AN3:-227.91,AN4:-666!!!VER:1.9,AN0:27.18,AN1:189.60,AN2:-133.18,AN3:-218.91,AN4:-721.52,AN5:19899.70,RLL:-109.64,PCH:48.04,YAW:81.82,IMUH:0,TOW:0***!!!VER:1.9,AN0:-1.82,AN1:161.60,AN2:-91.18,AN3:-281.91,AN4:-722.",-36.881493,174.6456
2015-10-18 17:13:41.549,"!!!VER:1.9,AN0:5.18,AN1:153.60,AN2:-66.18,AN3:-340.91,AN4:-712.!!!VER:1.9,AN0:0.18,AN1:185.60,AN2:-100.18,AN3:-259.91,AN4:-757.52,AN5:20068.70,RLL:-111.25,PCH:46.14,YAW:81.93,IMUH:0,TOW:0***
!!!VER:1.9,AN0:12.18,AN1:164.60,AN2:-81.18,AN3:-186.91,AN4:-774.",-36.881493,174.6456
2015-10-18 17:13:41.968,"!!!VER:1.9,AN0:32.18,AN1:164.60,AN2:-83.18,AN3:-268.91,AN4:-707!!!VER:1.9,AN0:5.18,AN1:166.60,AN2:-118.18,AN3:-178.91,AN4:-813.52,AN5:19984.70,RLL:-112.87,PCH:44.22,YAW:81.86,IMUH:0,TOW:0***
!!!VER:1.9,AN0:8.18,AN1:147.60,AN2:-139.18,AN3:-176.91,AN4:-695.",-36.881493,174.6456
